CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,TenureAgeRatio,ProductUtilizationRate,AgeBalanceInteraction,EngagementScore,CreditScoreCategory,ComplaintCount
510,2,1,38,4,0.0,1,1,0,118913.53,1,0.0,0.10256410256410256,0.2,0.0,1.25,1,1
669,0,0,46,3,0.0,2,0,1,8487.75,0,0.0,0.06382978723404255,0.5,0.0,1.5,1,0
846,0,1,38,5,0.0,1,1,1,187616.16,0,0.0,0.1282051282051282,0.167,0.0,2.25,0,3
577,0,0,25,3,0.0,2,0,1,124508.29,0,0.0,0.11538461538461539,0.5,0.0,1.5,1,0
756,1,0,36,2,136815.64,1,1,1,170041.95,0,0.805,0.05405405405405406,0.333,4925363.040000001,2.25,0,1
571,0,0,44,9,0.0,2,0,0,38433.35,0,0.0,0.2,0.2,0.0,0.5,1,0
574,1,1,43,3,141349.43,1,1,1,100187.43,0,1.411,0.06818181818181818,0.25,6078025.489999999,2.25,1,0
411,0,0,29,0,59697.17,2,1,1,53483.21,0,1.116,0.0,2.0,1731217.93,2.5,2,0
591,2,1,39,3,0.0,3,1,0,140469.38,1,0.0,0.075,0.75,0.0,1.75,1,1
533,0,0,36,7,85311.7,1,0,1,156731.91,0,0.544,0.1891891891891892,0.125,3071221.1999999997,1.25,1,1
553,1,0,41,9,110112.54,2,0,0,81898.81,0,1.344,0.21428571428571427,0.2,4514614.14,0.5,1,0
520,2,1,42,6,0.0,2,1,1,34410.55,0,0.0,0.13953488372093023,0.286,0.0,2.5,1,0
722,2,1,29,9,0.0,2,1,1,142033.07,0,0.0,0.3,0.2,0.0,2.5,0,0
475,0,1,45,0,134264.04,1,1,0,27822.99,1,4.825,0.0,1.0,6041881.800000001,1.25,2,4
490,2,0,31,3,145260.23,1,0,1,114066.77,0,1.273,0.09375,0.25,4503067.13,1.25,2,1
804,2,0,33,7,76548.6,1,0,1,98453.45,0,0.778,0.20588235294117646,0.125,2526103.8000000003,1.25,0,0
850,0,0,36,7,0.0,1,1,1,40812.9,0,0.0,0.1891891891891892,0.125,0.0,2.25,0,0
582,1,0,41,6,70349.48,2,0,1,178074.04,0,0.395,0.14285714285714285,0.286,2884328.6799999997,1.5,1,0
472,2,0,40,4,0.0,1,1,0,70154.22,0,0.0,0.0975609756097561,0.2,0.0,1.25,2,0
465,0,1,51,8,122522.32,1,0,0,181297.65,1,0.676,0.15384615384615385,0.111,6248638.32,0.25,2,0
556,0,1,61,2,117419.35,1,1,1,94153.83,0,1.247,0.03225806451612903,0.333,7162580.350000001,2.25,1,1
834,0,1,49,2,131394.56,1,0,0,194365.76,1,0.676,0.04,0.333,6438333.4399999995,0.25,0,0
660,2,1,61,5,155931.11,1,1,1,158338.39,0,0.985,0.08064516129032258,0.167,9511797.709999999,2.25,1,0
776,1,1,32,4,109421.13,2,1,1,126517.46,0,0.865,0.12121212121212122,0.4,3501476.16,2.5,0,0
829,1,1,27,9,112045.67,1,1,1,119708.21,1,0.936,0.32142857142857145,0.1,3025233.09,2.25,0,1
637,1,1,39,9,137843.8,1,1,1,117622.8,1,1.172,0.225,0.1,5375908.199999999,2.25,1,2
550,1,0,38,2,103391.38,1,0,1,90878.13,0,1.138,0.05128205128205128,0.333,3928872.4400000004,1.25,1,0
776,1,1,37,2,103769.22,2,1,0,194099.12,0,0.535,0.05263157894736842,0.667,3839461.14,1.5,0,1
698,1,0,44,10,116363.37,2,1,0,198059.16,0,0.588,0.2222222222222222,0.182,5119988.279999999,1.5,1,1
585,1,0,36,5,146050.97,2,0,0,86424.57,0,1.69,0.13513513513513514,0.333,5257834.92,0.5,1,0
788,0,1,33,5,0.0,2,0,0,116978.19,0,0.0,0.14705882352941177,0.333,0.0,0.5,0,0
655,1,0,41,8,125561.97,1,0,0,164040.94,1,0.765,0.19047619047619047,0.111,5148040.7700000005,0.25,1,0
601,1,0,42,1,98495.72,1,1,0,40014.76,1,2.461,0.023255813953488372,0.5,4136820.24,1.25,1,1
619,0,0,43,1,125211.92,1,1,1,113410.49,0,1.104,0.022727272727272728,0.5,5384112.56,2.25,1,0
656,0,0,45,5,127864.4,1,1,0,87107.57,0,1.468,0.10869565217391304,0.167,5753898.0,1.25,1,0
725,1,0,19,0,75888.2,1,0,0,45613.75,0,1.664,0.0,1.0,1441875.8,0.25,0,0
511,2,1,66,4,0.0,1,1,0,1643.11,1,0.0,0.05970149253731343,0.2,0.0,1.25,1,0
614,0,0,51,4,40685.92,1,1,1,46775.28,0,0.87,0.07692307692307693,0.2,2074981.92,2.25,1,1
742,1,0,35,5,136857.0,1,0,0,84509.57,0,1.619,0.1388888888888889,0.167,4789995.0,0.25,0,1
687,1,1,27,9,152328.88,2,0,0,126494.82,0,1.204,0.32142857142857145,0.2,4112879.7600000002,0.5,1,0
555,2,0,33,1,56084.69,2,0,0,178798.13,0,0.314,0.029411764705882353,1.0,1850794.77,0.5,1,1
684,2,0,56,8,78707.16,1,1,1,99398.36,0,0.792,0.14035087719298245,0.111,4407600.96,2.25,1,0
603,1,0,26,4,109166.37,1,1,1,92840.67,0,1.176,0.14814814814814814,0.2,2838325.62,2.25,1,1
751,1,1,36,6,169831.46,2,1,1,27758.36,0,6.118,0.16216216216216217,0.286,6113932.56,2.5,0,0
581,1,1,34,1,101633.04,1,1,0,110431.51,0,0.92,0.02857142857142857,0.5,3455523.36,1.25,1,0
735,1,0,43,10,123180.01,2,1,1,196673.28,0,0.626,0.22727272727272727,0.182,5296740.43,2.5,0,0
661,1,1,35,5,150725.53,2,0,1,113656.85,0,1.326,0.1388888888888889,0.333,5275393.55,1.5,1,0
675,0,1,21,8,98373.26,1,1,0,18203.0,0,5.404,0.36363636363636365,0.111,2065838.46,1.25,1,0
738,1,0,58,2,133745.44,4,1,0,28373.86,1,4.714,0.03389830508474576,1.333,7757235.5200000005,2.0,0,1
813,0,0,29,6,0.0,1,1,0,33953.87,0,0.0,0.2,0.143,0.0,1.25,0,0
657,2,1,37,0,163607.18,1,0,1,44203.55,0,3.701,0.0,1.0,6053465.66,1.25,1,1
604,1,1,25,5,157780.84,2,1,1,58426.81,0,2.7,0.19230769230769232,0.333,3944521.0,2.5,1,0
519,0,0,36,9,0.0,2,0,1,145562.4,0,0.0,0.24324324324324326,0.2,0.0,1.5,1,1
735,0,1,21,1,178718.19,2,1,0,22388.0,0,7.982,0.045454545454545456,1.0,3753081.99,1.5,0,0
664,0,0,55,8,0.0,2,1,1,139161.64,0,0.0,0.14285714285714285,0.222,0.0,2.5,1,0
678,0,1,32,9,0.0,1,1,1,148210.64,0,0.0,0.2727272727272727,0.1,0.0,2.25,1,0
757,2,0,33,5,77253.22,1,0,1,194239.63,0,0.398,0.14705882352941177,0.167,2549356.2600000002,1.25,0,2
416,1,1,41,10,122189.66,2,1,0,98301.61,0,1.243,0.23809523809523808,0.182,5009776.0600000005,1.5,2,2
665,0,1,34,1,96645.54,2,0,0,171413.66,0,0.564,0.02857142857142857,1.0,3285948.36,0.5,1,1
777,0,1,32,2,0.0,1,1,0,136458.19,1,0.0,0.06060606060606061,0.333,0.0,1.25,0,2
543,0,1,36,3,0.0,2,0,0,26019.59,0,0.0,0.08108108108108109,0.5,0.0,0.5,1,0
506,0,1,34,4,90307.62,1,1,1,159235.29,0,0.567,0.11428571428571428,0.2,3070459.08,2.25,1,0
493,0,1,46,4,0.0,2,1,0,1907.66,0,0.0,0.0851063829787234,0.4,0.0,1.5,2,0
652,2,1,75,10,0.0,2,1,1,114675.75,0,0.0,0.13157894736842105,0.182,0.0,2.5,1,2
750,2,0,22,3,121681.82,1,1,0,128643.35,1,0.946,0.13043478260869565,0.25,2677000.04,1.25,0,0
729,0,0,30,9,0.0,2,1,0,151869.35,0,0.0,0.2903225806451613,0.2,0.0,1.5,0,0
646,0,1,46,4,0.0,3,1,0,93251.42,1,0.0,0.0851063829787234,0.6,0.0,1.75,1,0
635,1,1,28,3,81623.67,2,1,1,156791.36,0,0.521,0.10344827586206896,0.5,2285462.76,2.5,1,0
647,2,1,44,5,0.0,3,1,1,174205.22,1,0.0,0.1111111111111111,0.5,0.0,2.75,1,0
808,0,0,45,7,118626.55,2,1,0,147132.46,0,0.806,0.15217391304347827,0.25,5338194.75,1.5,0,1
524,0,1,36,10,0.0,2,1,0,109614.57,0,0.0,0.2702702702702703,0.182,0.0,1.5,1,0
769,0,0,29,8,0.0,2,1,1,172290.61,0,0.0,0.26666666666666666,0.222,0.0,2.5,0,1
730,2,0,42,4,0.0,2,0,1,85982.47,0,0.0,0.09302325581395349,0.4,0.0,1.5,0,2
515,2,0,35,10,176273.95,1,0,1,121277.78,0,1.453,0.2777777777777778,0.091,6169588.25,1.25,1,0
773,2,0,41,9,102827.44,1,0,1,64595.25,0,1.592,0.21428571428571427,0.1,4215925.04,1.25,0,0
814,1,0,29,8,97086.4,2,1,1,197276.13,0,0.492,0.26666666666666666,0.222,2815505.5999999996,2.5,0,0
710,2,0,22,8,0.0,2,0,0,99645.04,0,0.0,0.34782608695652173,0.222,0.0,0.5,0,0
413,0,0,34,9,0.0,2,0,0,6534.18,0,0.0,0.2571428571428571,0.2,0.0,0.5,2,1
665,0,1,40,6,0.0,1,1,1,161848.03,0,0.0,0.14634146341463414,0.143,0.0,2.25,1,0
623,0,1,44,6,0.0,2,0,0,167162.43,0,0.0,0.13333333333333333,0.286,0.0,0.5,1,0
738,0,0,31,9,82674.15,1,1,0,41970.72,0,1.97,0.28125,0.1,2562898.65,1.25,0,1
528,2,0,36,7,0.0,2,1,0,60536.56,0,0.0,0.1891891891891892,0.25,0.0,1.5,1,0
670,2,1,65,1,0.0,1,1,1,177655.68,1,0.0,0.015151515151515152,0.5,0.0,2.25,1,0
622,2,1,46,4,107073.27,2,1,1,30984.59,1,3.456,0.0851063829787234,0.4,4925370.42,2.5,1,1
582,1,0,32,1,88938.62,1,1,1,10054.53,0,8.845,0.030303030303030304,0.5,2846035.84,2.25,1,1
785,1,1,36,2,99806.85,1,0,1,36976.52,0,2.699,0.05405405405405406,0.333,3593046.6,1.25,0,0
605,2,0,33,5,150092.8,1,0,0,71862.79,0,2.089,0.14705882352941177,0.167,4953062.399999999,0.25,1,1
479,1,0,35,9,92833.89,1,1,0,99449.86,1,0.933,0.25,0.1,3249186.15,1.25,2,1
685,1,0,30,3,90536.81,1,0,1,63082.88,0,1.435,0.0967741935483871,0.25,2716104.3,1.25,1,0
538,1,0,39,7,108055.1,2,1,0,27231.26,0,3.968,0.175,0.25,4214148.9,1.5,1,0
562,0,0,42,2,100238.35,1,0,0,86797.41,0,1.155,0.046511627906976744,0.333,4210010.7,0.25,1,1
675,2,0,36,9,106190.55,1,0,1,22994.32,0,4.618,0.24324324324324326,0.1,3822859.8000000003,1.25,1,0
721,1,0,28,9,154475.54,2,0,1,101300.94,1,1.525,0.3103448275862069,0.2,4325315.12,1.5,0,0
628,1,1,30,9,132351.29,2,1,1,74169.13,0,1.784,0.2903225806451613,0.2,3970538.7,2.5,1,0
668,1,1,37,6,167864.4,1,1,0,115638.29,0,1.452,0.15789473684210525,0.143,6210982.8,1.25,1,1
506,0,1,41,1,0.0,2,1,0,31766.3,0,0.0,0.023809523809523808,1.0,0.0,1.5,1,0
524,1,1,31,8,107818.63,1,1,0,199725.39,1,0.54,0.25,0.111,3342377.5300000003,1.25,1,0
699,1,0,34,4,185173.81,2,1,0,120834.48,0,1.532,0.11428571428571428,0.4,6295909.54,1.5,1,1
828,0,0,34,8,129433.34,2,0,0,38131.77,0,3.394,0.22857142857142856,0.222,4400733.56,0.5,0,1
674,2,0,39,6,120193.42,1,0,0,100130.95,0,1.2,0.15,0.143,4687543.38,0.25,1,1
656,0,1,39,6,0.0,2,1,0,141069.88,0,0.0,0.15,0.286,0.0,1.5,1,0
684,1,1,48,10,126384.42,1,1,1,198129.36,0,0.638,0.20408163265306123,0.091,6066452.16,2.25,1,0
625,0,1,28,3,0.0,1,0,0,183646.41,0,0.0,0.10344827586206896,0.25,0.0,0.25,1,2
432,0,0,42,9,152603.45,1,1,0,110265.24,1,1.384,0.20930232558139536,0.1,6409344.9,1.25,2,1
549,0,1,52,1,0.0,1,0,1,8636.05,1,0.0,0.018867924528301886,0.5,0.0,1.25,1,0
625,1,0,56,0,148507.24,1,1,0,46824.08,1,3.172,0.0,1.0,8316405.4399999995,1.25,1,0
828,0,1,41,7,0.0,2,1,0,171378.77,0,0.0,0.16666666666666666,0.25,0.0,1.5,0,0
770,0,0,24,9,101827.07,1,1,0,167256.35,0,0.609,0.36,0.1,2443849.68,1.25,0,0
758,0,1,34,3,0.0,2,1,1,124226.16,0,0.0,0.08571428571428572,0.5,0.0,2.5,0,2
795,1,1,33,9,130862.43,1,1,1,114935.21,0,1.139,0.2647058823529412,0.1,4318460.1899999995,2.25,0,0
687,0,0,38,9,122570.87,1,1,1,35608.88,0,3.442,0.23076923076923078,0.1,4657693.06,2.25,1,0
686,0,0,25,1,0.0,2,0,1,16459.37,0,0.0,0.038461538461538464,1.0,0.0,1.5,1,2
789,1,0,39,7,124828.46,2,1,1,124411.08,0,1.003,0.175,0.25,4868309.94,2.5,0,1
589,1,1,50,5,144895.05,2,1,1,34941.23,0,4.147,0.09803921568627451,0.333,7244752.499999999,2.5,1,0
461,1,1,34,5,63663.93,1,0,1,167784.28,0,0.379,0.14285714285714285,0.167,2164573.62,1.25,2,0
637,0,0,40,2,133463.1,1,0,1,93165.34,0,1.433,0.04878048780487805,0.333,5338524.0,1.25,1,1
584,2,1,48,2,213146.2,1,1,0,75161.25,1,2.836,0.04081632653061224,0.333,10231017.600000001,1.25,1,0
579,2,1,35,1,129490.36,2,0,1,8590.83,1,15.071,0.027777777777777776,1.0,4532162.6,1.5,1,0
756,1,0,44,10,137452.09,1,1,0,189543.9,0,0.725,0.2222222222222222,0.091,6047891.96,1.25,0,1
663,0,0,34,7,0.0,2,1,1,180427.24,0,0.0,0.2,0.25,0.0,2.5,1,0
682,0,1,43,5,125851.93,1,1,1,193318.33,0,0.651,0.11363636363636363,0.167,5411632.989999999,2.25,1,0
793,2,0,52,2,0.0,1,1,0,159123.82,1,0.0,0.03773584905660377,0.333,0.0,1.25,0,1
691,0,1,31,5,40915.55,1,1,0,126213.84,1,0.324,0.15625,0.167,1268382.05,1.25,1,0
485,2,1,21,5,113157.22,1,1,1,54141.5,0,2.09,0.22727272727272727,0.167,2376301.62,2.25,2,1
635,2,1,29,8,138296.94,2,1,0,141075.51,0,0.98,0.26666666666666666,0.222,4010611.2600000002,1.5,1,0
650,0,0,37,5,106967.18,1,0,0,24495.03,0,4.367,0.13157894736842105,0.167,3957785.6599999997,0.25,1,1
735,0,0,44,9,120681.63,1,1,0,74836.34,0,1.613,0.2,0.1,5309991.720000001,1.25,0,1
416,0,0,32,0,0.0,2,0,1,878.87,0,0.0,0.0,2.0,0.0,1.5,2,0
754,2,1,32,7,0.0,2,1,0,89520.75,0,0.0,0.21212121212121213,0.25,0.0,1.5,0,0
535,0,1,48,9,0.0,1,1,0,149892.79,1,0.0,0.1836734693877551,0.1,0.0,1.25,1,0
716,2,0,42,8,0.0,2,1,0,180800.42,0,0.0,0.18604651162790697,0.222,0.0,1.5,0,0
539,0,0,37,2,127609.59,1,1,0,98646.22,0,1.294,0.05263157894736842,0.333,4721554.83,1.25,1,0
614,0,1,43,6,0.0,2,1,1,109041.53,0,0.0,0.13636363636363635,0.286,0.0,2.5,1,1
706,2,0,57,7,0.0,1,1,0,17941.16,1,0.0,0.1206896551724138,0.125,0.0,1.25,0,1
758,0,1,33,7,0.0,2,0,0,82996.47,0,0.0,0.20588235294117646,0.25,0.0,0.5,0,1
586,2,1,28,2,0.0,2,1,1,92067.35,0,0.0,0.06896551724137931,0.667,0.0,2.5,1,0
646,0,1,73,6,97259.25,1,0,1,104719.66,0,0.929,0.08108108108108109,0.143,7099925.25,1.25,1,0
631,1,1,33,4,123246.7,1,0,0,112687.57,0,1.094,0.11764705882352941,0.2,4067141.1,0.25,1,0
717,2,1,22,6,101060.25,1,0,1,84699.56,0,1.193,0.2608695652173913,0.143,2223325.5,1.25,0,1
684,0,0,30,2,0.0,2,1,0,83473.82,0,0.0,0.06451612903225806,0.667,0.0,1.5,1,0
800,0,1,49,7,108007.36,1,0,0,47125.11,0,2.292,0.14,0.125,5292360.64,0.25,0,1
721,2,1,36,2,0.0,2,1,1,106977.8,0,0.0,0.05405405405405406,0.667,0.0,2.5,0,3
683,2,0,29,0,133702.89,1,1,0,55582.54,1,2.405,0.0,1.0,3877383.8100000005,1.25,1,0
660,1,0,31,9,125189.75,2,1,1,139874.43,0,0.895,0.28125,0.2,3880882.25,2.5,1,1
704,1,1,24,7,113034.22,1,1,0,162503.48,1,0.696,0.28,0.125,2712821.2800000003,1.25,0,3
615,2,1,41,9,109013.23,1,1,0,196499.96,0,0.555,0.21428571428571427,0.1,4469542.43,1.25,1,0
667,2,1,39,2,0.0,2,1,0,40721.24,1,0.0,0.05,0.667,0.0,1.5,1,1
682,1,0,24,9,57929.81,2,0,0,53134.3,0,1.09,0.36,0.2,1390315.44,0.5,1,0
484,0,1,29,4,130114.39,1,1,0,164017.89,0,0.793,0.13333333333333333,0.2,3773317.31,1.25,2,0
628,1,0,27,5,95826.49,2,1,0,155996.96,0,0.614,0.17857142857142858,0.333,2587315.23,1.5,1,2
480,1,0,44,10,129608.57,1,1,0,5472.7,1,23.678,0.2222222222222222,0.091,5702777.08,1.25,2,0
578,0,0,30,4,169462.09,1,1,0,112187.11,0,1.511,0.12903225806451613,0.2,5083862.7,1.25,1,2
512,0,0,40,5,0.0,2,1,1,146457.83,0,0.0,0.12195121951219512,0.333,0.0,2.5,1,0
484,2,1,35,7,133868.21,1,1,1,27286.1,0,4.906,0.19444444444444445,0.125,4685387.35,2.25,2,2
510,0,1,30,0,0.0,2,1,1,130553.47,0,0.0,0.0,2.0,0.0,2.5,1,1
606,1,0,36,5,190479.48,2,0,0,179351.89,0,1.062,0.13513513513513514,0.333,6857261.28,0.5,1,0
597,2,1,40,8,101993.12,1,0,1,94774.12,0,1.076,0.1951219512195122,0.111,4079724.8,1.25,1,2
754,1,1,55,3,161608.81,1,1,0,8080.85,1,19.997,0.05357142857142857,0.25,8888484.55,1.25,0,1
850,2,1,45,2,122311.21,1,1,1,19482.5,0,6.278,0.043478260869565216,0.333,5504004.45,2.25,0,0
510,0,0,65,2,0.0,2,1,1,48071.61,0,0.0,0.030303030303030304,0.667,0.0,2.5,1,1
778,1,1,45,1,162150.42,2,1,0,174531.27,0,0.929,0.021739130434782608,1.0,7296768.9,1.5,0,1
636,0,0,42,2,0.0,2,1,1,55470.78,0,0.0,0.046511627906976744,0.667,0.0,2.5,1,1
804,0,1,50,4,0.0,1,1,1,8546.87,1,0.0,0.0784313725490196,0.2,0.0,2.25,0,0
514,0,0,32,8,0.0,2,1,0,95857.18,0,0.0,0.24242424242424243,0.222,0.0,1.5,1,0
730,0,1,39,1,99010.67,1,1,0,194945.8,0,0.508,0.025,0.5,3861416.13,1.25,0,0
525,2,1,37,0,0.0,1,0,1,131521.72,0,0.0,0.0,1.0,0.0,1.25,1,0
616,2,0,30,5,0.0,2,0,1,196108.51,0,0.0,0.16129032258064516,0.333,0.0,1.5,1,0
687,1,1,34,7,111388.18,2,1,0,148564.76,0,0.75,0.2,0.25,3787198.1199999996,1.5,1,0
715,0,1,41,8,56214.85,2,0,0,92982.61,1,0.605,0.19047619047619047,0.222,2304808.85,0.5,0,0
512,0,1,36,3,84327.77,2,1,0,17675.36,0,4.771,0.08108108108108109,0.5,3035799.72,1.5,1,0
479,0,0,40,1,0.0,2,0,0,114996.43,0,0.0,0.024390243902439025,1.0,0.0,0.5,2,0
601,0,0,32,8,93012.89,1,1,0,86957.42,0,1.07,0.24242424242424243,0.111,2976412.48,1.25,1,0
580,2,0,29,9,61710.44,2,1,0,128077.8,0,0.482,0.3,0.2,1789602.76,1.5,1,1
807,0,0,35,3,174790.15,1,1,1,600.36,0,290.658,0.08333333333333333,0.25,6117655.25,2.25,0,0
616,2,1,32,6,0.0,2,1,1,43001.46,0,0.0,0.18181818181818182,0.286,0.0,2.5,1,0
721,1,0,37,3,107720.64,1,1,1,158591.12,0,0.679,0.07894736842105263,0.25,3985663.68,2.25,0,1
501,0,0,57,10,0.0,2,1,1,47847.19,0,0.0,0.1724137931034483,0.182,0.0,2.5,1,1
521,0,0,35,6,96423.84,1,1,0,10488.44,0,9.192,0.16666666666666666,0.143,3374834.4,1.25,1,0
850,2,0,30,2,141040.01,1,1,1,5978.2,0,23.588,0.06451612903225806,0.333,4231200.300000001,2.25,0,0
759,0,0,42,4,105420.18,1,0,1,121409.06,0,0.868,0.09302325581395349,0.2,4427647.56,1.25,0,0
516,2,0,50,5,0.0,1,0,1,146145.93,1,0.0,0.09803921568627451,0.167,0.0,1.25,1,1
711,0,1,38,2,129022.06,2,1,1,14374.86,1,8.975,0.05128205128205128,0.667,4902838.28,2.5,0,1
512,2,0,33,3,176666.62,1,1,0,94670.77,0,1.866,0.08823529411764706,0.25,5829998.46,1.25,1,0
550,0,0,37,3,0.0,1,1,1,179670.31,0,0.0,0.07894736842105263,0.25,0.0,2.25,1,1
608,2,1,41,3,89763.84,1,0,0,199304.74,1,0.45,0.07142857142857142,0.25,3680317.44,0.25,1,0
618,0,0,34,5,134954.53,1,1,1,151954.39,0,0.888,0.14285714285714285,0.167,4588454.02,2.25,1,0
643,0,0,45,5,0.0,1,1,0,142513.5,1,0.0,0.10869565217391304,0.167,0.0,1.25,1,0
671,0,0,45,2,106376.85,1,0,1,158264.62,0,0.672,0.043478260869565216,0.333,4786958.25,1.25,1,2
689,1,0,33,2,161814.64,2,1,0,169381.9,0,0.955,0.058823529411764705,0.667,5339883.12,1.5,1,0
603,0,0,31,8,0.0,2,1,1,169915.02,0,0.0,0.25,0.222,0.0,2.5,1,0
620,0,1,41,9,0.0,2,0,0,88852.47,0,0.0,0.21428571428571427,0.2,0.0,0.5,1,0
676,0,1,34,1,63095.01,1,1,1,40645.81,0,1.552,0.02857142857142857,0.5,2145230.34,2.25,1,0
572,1,0,26,4,118287.01,2,0,0,60427.3,0,1.957,0.14814814814814814,0.4,3075462.26,0.5,1,0
668,1,0,47,7,106854.21,1,0,1,157959.02,1,0.676,0.14583333333333334,0.125,5022147.87,1.25,1,1
695,0,0,46,7,49512.55,1,1,0,133007.34,0,0.372,0.14893617021276595,0.125,2277577.3000000003,1.25,1,0
730,2,1,33,9,0.0,2,0,0,176576.62,0,0.0,0.2647058823529412,0.2,0.0,0.5,0,2
807,0,0,43,1,105799.32,2,1,0,34888.04,1,3.032,0.022727272727272728,1.0,4549370.760000001,1.5,0,1
592,0,0,54,8,0.0,1,1,1,28737.71,1,0.0,0.14545454545454545,0.111,0.0,2.25,1,0
726,0,1,31,9,114722.05,2,1,1,98178.57,0,1.168,0.28125,0.2,3556383.5500000003,2.5,0,0
514,2,0,30,7,0.0,1,0,1,125010.24,0,0.0,0.22580645161290322,0.125,0.0,1.25,1,1
567,0,0,42,2,0.0,2,1,1,167984.61,0,0.0,0.046511627906976744,0.667,0.0,2.5,1,0
850,0,0,33,10,0.0,1,1,0,4861.72,1,0.0,0.29411764705882354,0.091,0.0,1.25,0,0
671,1,0,45,6,99564.22,1,1,1,108872.45,1,0.914,0.13043478260869565,0.143,4480389.9,2.25,1,0
670,0,0,37,4,170557.91,2,1,0,198252.88,0,0.86,0.10526315789473684,0.4,6310642.67,1.5,1,1
694,0,1,30,9,0.0,2,1,1,26960.31,0,0.0,0.2903225806451613,0.2,0.0,2.5,1,0
547,1,1,39,6,74596.15,3,1,1,85746.52,1,0.87,0.15,0.429,2909249.8499999996,2.75,1,0
751,1,0,50,2,96888.39,1,1,0,77206.25,1,1.255,0.0392156862745098,0.333,4844419.5,1.25,0,0
594,1,1,29,3,130830.22,1,1,0,61048.53,0,2.143,0.1,0.25,3794076.38,1.25,1,0
673,0,0,72,1,0.0,2,0,1,111981.19,0,0.0,0.0136986301369863,1.0,0.0,1.5,1,0
610,0,0,40,0,0.0,2,1,0,62232.6,0,0.0,0.0,2.0,0.0,1.5,1,0
512,0,1,37,1,0.0,2,0,1,156105.03,0,0.0,0.02631578947368421,1.0,0.0,1.5,1,0
767,1,0,20,3,119714.25,2,0,1,150135.38,0,0.797,0.14285714285714285,0.5,2394285.0,1.5,0,1
585,0,1,67,5,113978.97,2,0,1,93146.11,0,1.224,0.07352941176470588,0.333,7636590.99,1.5,1,0
763,1,0,42,6,100160.75,1,1,0,33462.94,1,2.993,0.13953488372093023,0.143,4206751.5,1.25,0,0
712,0,1,29,2,0.0,1,1,1,144375.0,0,0.0,0.06666666666666667,0.333,0.0,2.25,0,1
539,1,1,43,3,116220.5,3,1,0,55803.96,1,2.083,0.06818181818181818,0.75,4997481.5,1.75,1,1
668,0,1,46,2,0.0,3,1,0,89048.46,1,0.0,0.0425531914893617,1.0,0.0,1.75,1,0
